"","logFC","AveExpr","t","P.Value","adj.P.Val","B","X","UNIPROT"
"P47895",-2.6657151397056,22.9251709189107,-8.69915693271833,0.00016732836137416,0.000979097033446097,1.37555732714634,"P47895","P47895"
"P12814;P35609;Q08043",1.22577001445928,24.586913012894,8.6464100395148,0.00017286784749671,0.00100472185189363,1.33965502242013,"P12814;P35609;Q08043","P12814"
"Q16555;Q14194",3.0748636413867,22.6443235270235,8.5367675811797,0.000185080134028558,0.00106581472747863,1.26435246776822,"Q16555;Q14194","Q16555"
"Q92626",3.15555189107507,22.1509729162856,8.52419979000562,0.000186543101729231,0.00106581472747863,1.25566215471766,"Q92626","Q92626"
"P19440;A6NGU5;P36268;Q14390;B5MD39",3.42637151778668,22.9829758986839,8.51968948079615,0.000187071407132507,0.00106581472747863,1.25254042133673,"P19440;A6NGU5;P36268;Q14390;B5MD39","P19440"
"P54920",2.64452301013323,22.4582263025725,8.48439040029489,0.000191266762514351,0.00108259487802241,1.22805446667415,"P54920","P54920"
"Q969L2",-3.43638140745373,23.5351252535155,-8.42519810096484,0.000198550114015283,0.00111652206972231,1.18677710863102,"Q969L2","Q969L2"
"Q8WUM4",-1.64140967426296,27.3315344929759,-8.36794166437995,0.000205903992486107,0.0011504055322127,1.14658830966517,"Q8WUM4","Q8WUM4"
"P49721",-2.05118895071067,22.331563576613,-8.2500690742819,0.000222064310268419,0.0012327416198234,1.06303207855625,"P49721","P49721"
"Q9Y624",-2.46988791360625,23.7706763904709,-8.19917086612277,0.000229495333454968,0.00126012206640424,1.02660598742556,"Q9Y624","Q9Y624"
"P10301",1.41690496202679,25.072317849148,8.19640874954807,0.000229906797334723,0.00126012206640424,1.02462320718738,"P10301","P10301"
"O15144",-1.35812689941895,24.8408227729201,-8.18469729581526,0.000231660971283831,0.00126175095051445,1.01620924079047,"O15144","O15144"
"Q9HD42",-1.84345437434434,21.981316397899,-8.15953551604505,0.000235482670333267,0.00127229122540642,0.998094062971867,"Q9HD42","Q9HD42"
"Q15758",1.6474033850685,26.3836112701612,8.15269350243545,0.000236534511882717,0.00127229122540642,0.993159183024832,"Q15758","Q15758"
"P11279",3.91948534814987,22.7680142275889,8.07642868742377,0.000248636428175993,0.001329130535805,0.937890598283645,"P11279","P11279"
"O15427",1.50013687311252,25.7103717531847,8.05507034789073,0.000252153621448585,0.001337758750391,0.922325727148125,"O15427","O15427"
"Q96AP7",3.00602758548736,21.9439203634581,8.04445132375061,0.000253923817062848,0.001337758750391,0.91457292419373,"Q96AP7","Q96AP7"
"P08238;Q58FF7",1.11242400535302,27.9542375182448,8.0387228553805,0.000254884750363182,0.001337758750391,0.910386724142451,"P08238;Q58FF7","P08238"
"Q5VW32",-3.34474823640933,24.1422848487757,-8.0009243620637,0.000261332336722201,0.00136333616627365,0.882695504261805,"Q5VW32","Q5VW32"
"P14923",-2.21089909884426,24.8817806363505,-7.91093287096751,0.000277460687835203,0.0014388081177562,0.816280332158322,"P14923","P14923"
"P68366",-2.15075264303212,23.1499230633782,-7.67300259450049,0.000325988764058953,0.00168039446235151,0.63730507748136,"P68366","P68366"
"P37235;P84074;P61601",2.97460588350382,23.8107574321937,7.65531171017442,0.000329974820040539,0.00169087688849176,0.623797782678147,"P37235;P84074;P61601","P37235"
"P18084",3.90064592914381,22.7011276352185,7.59559460708472,0.00034385415135286,0.00175163350042104,0.577994522891032,"P18084","P18084"
"P11021",1.84447265412771,24.0888733763879,7.52484983548908,0.000361182256858063,0.00182914523063791,0.523313543224746,"P11021","P11021"
"P07437",1.51166413666447,27.2284842200364,7.50991648225431,0.000364968336201611,0.00183757313459648,0.51171240214842,"P07437","P07437"
